Country,Confirmed,Deaths,Recovered,TotalDeath,Active,Newcases,Newdeaths,Newrecovered,Deathrate,Recoveredrate,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,Region
Ireland,25892,1764,23364,211144,764,11,0,0,6.81,90.24,7.55,25766,126,0.49,Europe
Guatemala,45309,1761,32455,342732,11093,256,27,843,3.89,71.63,5.43,39039,6270,16.06,Americas
Portugal,50299,1719,35375,211144,13205,135,2,158,3.42,70.33,4.86,48771,1528,3.13,Europe
Poland,43402,1676,32856,211144,8870,337,5,103,3.86,75.7,5.1,40383,3019,7.48,Europe
Ukraine,67096,1636,37202,211144,28258,835,11,317,2.44,55.45,4.4,60767,6329,10.42,Europe
Panama,61442,1322,35086,342732,25034,1146,28,955,2.15,57.1,3.77,54426,7016,12.89,Americas
Kyrgyzstan,33296,1301,21205,211144,10790,483,24,817,3.91,63.69,6.14,27143,6153,22.67,Europe
Afghanistan,36263,1269,25198,38339,9796,106,10,18,3.5,69.49,5.04,35526,737,2.07,Mediterranean
Honduras,39741,1166,5039,342732,33536,465,50,117,2.93,12.68,23.14,34611,5130,14.82,Americas
Algeria,27973,1163,18837,12223,7973,616,8,749,4.16,67.34,6.17,23691,4282,18.07,Africa
Dominican Republic,64156,1083,30204,342732,32869,1248,20,1601,1.69,47.08,3.59,53956,10200,18.9,Americas
Japan,31142,998,21970,8249,8174,594,0,364,3.2,70.55,4.54,25706,5436,21.15,Pacific
Nigeria,41180,860,18203,12223,22117,648,2,829,2.09,44.2,4.72,37225,3955,10.62,Africa
Moldova,23154,748,16154,211144,6252,120,13,245,3.23,69.77,4.63,21115,2039,9.66,Europe
Sudan,11424,720,5939,38339,4765,39,3,49,6.3,51.99,12.12,10992,432,3.93,Mediterranean
Austria,20558,713,18246,211144,1599,86,1,37,3.47,88.75,3.91,19743,815,4.13,Europe
Armenia,37390,711,26665,211144,10014,73,6,187,1.9,71.32,2.67,34981,2409,6.89,Europe
Denmark,13761,613,12605,211144,543,109,0,77,4.45,91.6,4.86,13453,308,2.29,Europe
Hungary,4448,596,3329,211144,523,13,0,0,13.4,74.84,17.9,4339,109,2.51,Europe
Kazakhstan,84648,585,54404,211144,29659,1526,0,1833,0.69,64.27,1.08,73468,11180,15.22,Europe
Serbia,24141,543,0,211144,23598,411,9,0,2.25,0,inf,21253,2888,13.59,Europe
Belarus,67251,538,60492,211144,6221,119,4,67,0.8,89.95,0.89,66213,1038,1.57,Europe
Yemen,1691,483,833,38339,375,10,4,36,28.56,49.26,57.98,1619,72,4.45,Mediterranean
Israel,63985,474,27133,211144,36378,2029,4,108,0.74,42.41,1.75,52003,11982,23.04,Europe
North Macedonia,10213,466,5564,211144,4183,127,6,137,4.56,54.48,8.38,9249,964,10.42,Europe
